node, x, y,listOfConnectedNodes
1,3,6,2;35;35;14;3
2,0,6,3;34;30
3,0,0,4;33;18;1;5
4,4,0,5;1;3;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
5,4,4,6;3;7;8;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
6,8,4,7;30;27;31
7,8,0,8;29;11;19
8,4,0,9;28;13;35
9,4,4,10;27;12;7
10,7,4,11;26;28;23
11,7,3,12;25;1;12
12,9,3,13;24;7;11
13,9,6,14;23;34;34
14,9,0,15;22;32;8
15,12,0,16;21;9;21
16,12,4,17;18;22;24
17,16,4,18;19;20;15
18,16,0,19;20;16;14;13
19,12,0,20;17;29;16
20,12,4,21;18;4;27
21,15,4,22;15;3;5
22,15,3,23;14;12;3
23,17,3,24;13;5;1
24,17,0,25;12;25;29
25,17,4,26;11;33;18
26,20,0,27;10;10;25
27,20,4,28;9;19;20
28,21,4,29;8;2;26
29,21,0,30;7;31;9
30,24,0,31;6;17;10
31,24,4,32;5;23;32
32,24,-2,33;4;24;2
33,24,-3,34;3;26;1
34,23,-3,35;2;8;22
35,23,-2,32;1;15;6
