Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDevFitness,P0   ,P25  ,P50  ,P75  ,P100 ,MeanPheromone,StandardDevPheromone,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s),PheromoneImageSaved
1,2954.0000,4424.0000,2954.0000,4424.0000,3784.4400,334.9822,2954.0000,3547.5000,3798.0000,4012.5000,4424.0000,0.8355,0.0297,0.8000,0.8000,0.8322,0.8625,0.9295,,,0.2882,true
2,2834.0000,4430.0000,2834.0000,4430.0000,3682.4800,353.6636,2834.0000,3428.5000,3680.0000,3965.5000,4430.0000,0.7047,0.0446,0.6400,0.6716,0.6976,0.7281,0.8565,101.9600,63667.6991,0.1601,true
3,2888.0000,4698.0000,2834.0000,4698.0000,3700.7600,406.8111,2888.0000,3408.5000,3705.0000,4015.0000,4698.0000,0.6010,0.0517,0.5120,0.5667,0.5931,0.6292,0.7541,-18.2800,-15777.2950,0.1159,true
4,2750.0000,4548.0000,2750.0000,4698.0000,3789.9400,358.8187,2750.0000,3581.0000,3800.0000,4004.5000,4548.0000,0.5167,0.0534,0.4096,0.4748,0.5115,0.5519,0.7262,-89.1800,-116462.5069,0.0766,true
5,2640.0000,4674.0000,2640.0000,4698.0000,3701.5800,381.8274,2640.0000,3447.5000,3724.0000,3958.0000,4674.0000,0.4507,0.0620,0.3277,0.4040,0.4427,0.4938,0.6829,88.3600,114644.7065,0.0771,true
6,2828.0000,4402.0000,2640.0000,4698.0000,3652.7000,319.0889,2828.0000,3484.5000,3651.0000,3830.0000,4402.0000,0.3965,0.0598,0.2732,0.3519,0.3892,0.4343,0.6020,48.8800,64852.3574,0.0754,true
7,2570.0000,4406.0000,2570.0000,4698.0000,3735.1600,365.8190,2570.0000,3526.5000,3789.0000,3970.0000,4406.0000,0.3548,0.0623,0.2186,0.3132,0.3539,0.3939,0.5443,-82.4600,-118139.9054,0.0698,true
8,2830.0000,4418.0000,2570.0000,4698.0000,3725.4800,327.3563,2830.0000,3560.0000,3740.0000,3930.0000,4418.0000,0.3196,0.0705,0.1761,0.2733,0.3183,0.3606,0.5660,9.6800,14405.6194,0.0672,true
9,2960.0000,4546.0000,2570.0000,4698.0000,3723.9800,331.6891,2960.0000,3493.5000,3721.0000,3925.0000,4546.0000,0.2911,0.0731,0.1503,0.2355,0.2876,0.3328,0.5231,1.5000,2119.3655,0.0708,true
10,2698.0000,4396.0000,2570.0000,4698.0000,3674.8400,370.7551,2698.0000,3413.5000,3709.0000,3958.5000,4396.0000,0.2703,0.0789,0.1202,0.2095,0.2655,0.3165,0.5354,49.1400,69034.6944,0.0712,true
11,2930.0000,4554.0000,2570.0000,4698.0000,3736.2400,327.2130,2930.0000,3536.0000,3726.0000,3962.0000,4554.0000,0.2518,0.0811,0.0962,0.1942,0.2353,0.2971,0.5281,-61.4000,-83186.6728,0.0738,true
12,2726.0000,4510.0000,2570.0000,4698.0000,3656.9200,339.5545,2726.0000,3422.5000,3666.0000,3890.5000,4510.0000,0.2376,0.0891,0.0770,0.1656,0.2252,0.2858,0.5501,79.3200,112572.7529,0.0705,true
13,2804.0000,4408.0000,2570.0000,4698.0000,3640.3400,331.5054,2804.0000,3400.0000,3610.0000,3870.5000,4408.0000,0.2262,0.0973,0.0616,0.1519,0.2188,0.2826,0.5540,16.5800,23439.9962,0.0707,true
14,2690.0000,4326.0000,2570.0000,4698.0000,3624.7600,333.1965,2690.0000,3403.0000,3612.0000,3864.5000,4326.0000,0.2176,0.1009,0.0493,0.1391,0.1992,0.2727,0.5434,15.5800,22195.4079,0.0702,true
15,2688.0000,4440.0000,2570.0000,4698.0000,3625.7200,363.7954,2688.0000,3418.5000,3603.0000,3865.5000,4440.0000,0.2110,0.1029,0.0394,0.1393,0.1905,0.2674,0.6356,-0.9600,-1579.7320,0.0608,true
16,2696.0000,4458.0000,2570.0000,4698.0000,3636.5200,368.6072,2696.0000,3403.0000,3634.0000,3851.0000,4458.0000,0.2063,0.1181,0.0315,0.1198,0.1837,0.2668,0.7767,-10.8000,-18196.7064,0.0594,true
17,2688.0000,4396.0000,2570.0000,4698.0000,3556.7800,394.5257,2688.0000,3288.0000,3528.0000,3833.0000,4396.0000,0.2032,0.1298,0.0252,0.1119,0.1749,0.2713,0.8976,79.7400,128494.1498,0.0621,true
18,2664.0000,4554.0000,2570.0000,4698.0000,3465.0000,404.3832,2664.0000,3204.5000,3463.0000,3766.5000,4554.0000,0.2028,0.1452,0.0202,0.1044,0.1648,0.2566,0.9747,91.7800,151923.7104,0.0604,true
19,2638.0000,4082.0000,2570.0000,4698.0000,3323.0000,361.7099,2638.0000,3018.0000,3279.0000,3577.5000,4082.0000,0.2022,0.1522,0.0161,0.0995,0.1637,0.2706,1.0000,142.0000,241887.4031,0.0587,true
20,2380.0000,4386.0000,2380.0000,4698.0000,3318.7200,364.7276,2380.0000,3126.5000,3292.0000,3545.0000,4386.0000,0.2026,0.1625,0.0129,0.0859,0.1659,0.2682,1.0000,4.2800,6775.6255,0.0632,true
21,2380.0000,4324.0000,2380.0000,4698.0000,3351.1000,417.0435,2380.0000,3003.0000,3357.0000,3603.5000,4324.0000,0.2027,0.1739,0.0103,0.0762,0.1588,0.2629,1.0000,-32.3800,-52030.9422,0.0622,true
22,2514.0000,4358.0000,2380.0000,4698.0000,3269.8600,324.5199,2514.0000,3037.0000,3252.0000,3492.5000,4358.0000,0.2024,0.1813,0.0083,0.0688,0.1631,0.2644,1.0000,81.2400,137173.6554,0.0592,true
23,2460.0000,4172.0000,2380.0000,4698.0000,3302.5400,391.3058,2460.0000,2976.0000,3283.0000,3581.5000,4172.0000,0.2027,0.1861,0.0066,0.0676,0.1611,0.2783,1.0000,-32.6800,-56648.5812,0.0577,true
24,2460.0000,4658.0000,2380.0000,4698.0000,3251.7200,433.1600,2460.0000,2971.0000,3182.0000,3556.5000,4658.0000,0.2037,0.1877,0.0053,0.0578,0.1631,0.2835,1.0000,50.8200,85934.3030,0.0591,true
25,2494.0000,4044.0000,2380.0000,4698.0000,3190.9000,356.4128,2494.0000,2968.0000,3129.0000,3409.5000,4044.0000,0.2039,0.1950,0.0042,0.0538,0.1509,0.2742,1.0000,60.8200,100959.7987,0.0602,true
26,2564.0000,4194.0000,2380.0000,4698.0000,3169.0000,353.5358,2564.0000,2914.5000,3109.0000,3369.5000,4194.0000,0.2038,0.2022,0.0034,0.0490,0.1476,0.2784,1.0000,21.9000,36056.5644,0.0607,true
27,2494.0000,4008.0000,2380.0000,4698.0000,3177.2200,383.7150,2494.0000,2865.0000,3111.0000,3485.0000,4008.0000,0.2042,0.2081,0.0027,0.0442,0.1578,0.2516,1.0000,-8.2200,-13525.8546,0.0608,true
28,2380.0000,4148.0000,2380.0000,4698.0000,3090.5800,364.9089,2380.0000,2818.5000,3019.0000,3301.5000,4148.0000,0.2046,0.2130,0.0022,0.0354,0.1554,0.2680,1.0000,86.6400,136302.0670,0.0636,true
29,2380.0000,4028.0000,2380.0000,4698.0000,3042.2400,357.0229,2380.0000,2771.0000,3011.0000,3218.0000,4028.0000,0.2063,0.2190,0.0017,0.0303,0.1642,0.2848,1.0000,48.3400,82369.8806,0.0587,true
30,2432.0000,4456.0000,2380.0000,4698.0000,2988.6200,339.2485,2432.0000,2726.5000,2984.0000,3173.0000,4456.0000,0.2072,0.2252,0.0014,0.0257,0.1572,0.2839,1.0000,53.6200,93500.1526,0.0573,true
31,2320.0000,3858.0000,2320.0000,4698.0000,2987.9200,321.8817,2320.0000,2730.0000,2944.0000,3177.5000,3858.0000,0.2076,0.2274,0.0011,0.0205,0.1503,0.2776,1.0000,0.7000,1242.7300,0.0563,true
32,2364.0000,4186.0000,2320.0000,4698.0000,2969.1000,392.3284,2364.0000,2701.5000,2923.0000,3121.5000,4186.0000,0.2088,0.2356,0.0010,0.0181,0.1532,0.2874,1.0000,18.8200,32552.8941,0.0578,true
