Iteration,CurrentMin,CurrentMax,HistoricalMin,HistoricalMax,MeanFitness,StandardDevFitness,P0   ,P25  ,P50  ,P75  ,P100 ,MeanPheromone,StandardDevPheromone,P0   ,P25  ,P50  ,P75  ,P100 ,StepGradient(u/iter),TimeGradient(u/s),ElapsedTime(s),PheromoneImageSaved
1,2856.0000,4488.0000,2856.0000,4488.0000,3781.5600,374.5769,2856.0000,3480.5000,3792.0000,4070.0000,4488.0000,0.9911,0.0031,0.9900,0.9900,0.9900,0.9900,1.0000,,,0.2695,true
2,2932.0000,4460.0000,2856.0000,4488.0000,3807.1400,306.4985,2932.0000,3618.0000,3808.0000,4037.0000,4460.0000,0.9823,0.0063,0.9801,0.9801,0.9801,0.9801,1.0000,-25.5800,-17271.6236,0.1481,true
3,2758.0000,4520.0000,2758.0000,4520.0000,3685.4800,365.1283,2758.0000,3409.0000,3707.0000,3953.5000,4520.0000,0.9757,0.0105,0.9703,0.9703,0.9703,0.9703,1.0000,121.6600,110049.9503,0.1105,true
4,3008.0000,4540.0000,2758.0000,4540.0000,3789.0200,342.5062,3008.0000,3515.0000,3857.0000,4032.5000,4540.0000,0.9670,0.0131,0.9606,0.9606,0.9606,0.9606,1.0000,-103.5400,-143617.4566,0.0721,true
5,2932.0000,4570.0000,2758.0000,4570.0000,3735.6600,348.7039,2932.0000,3517.5000,3704.0000,3909.0000,4570.0000,0.9585,0.0158,0.9510,0.9510,0.9510,0.9510,1.0000,53.3600,71513.0998,0.0746,true
6,2848.0000,4502.0000,2758.0000,4570.0000,3712.2800,373.2096,2848.0000,3448.0000,3709.0000,4001.5000,4502.0000,0.9500,0.0186,0.9415,0.9415,0.9415,0.9415,1.0000,23.3800,30849.0481,0.0758,true
7,2960.0000,4620.0000,2758.0000,4620.0000,3711.6800,313.1694,2960.0000,3493.0000,3690.0000,3941.5000,4620.0000,0.9416,0.0214,0.9321,0.9321,0.9321,0.9321,1.0000,0.6000,814.3334,0.0737,true
8,2756.0000,4604.0000,2756.0000,4620.0000,3773.7600,363.7891,2756.0000,3496.0000,3769.0000,4047.0000,4604.0000,0.9359,0.0229,0.9227,0.9227,0.9227,0.9415,1.0000,-62.0800,-88464.8050,0.0702,true
9,2824.0000,4496.0000,2756.0000,4620.0000,3715.0600,356.1537,2824.0000,3476.0000,3714.0000,3984.0000,4496.0000,0.9302,0.0285,0.9135,0.9135,0.9135,0.9321,1.0000,58.7000,87278.7180,0.0673,true
10,2974.0000,4500.0000,2756.0000,4620.0000,3716.6400,327.1177,2974.0000,3449.5000,3729.0000,3930.0000,4500.0000,0.9233,0.0335,0.9044,0.9044,0.9044,0.9227,1.0000,-1.5800,-2189.6667,0.0722,true
11,2790.0000,4468.0000,2756.0000,4620.0000,3777.2000,342.4515,2790.0000,3489.5000,3814.0000,4028.0000,4468.0000,0.9152,0.0357,0.8953,0.8953,0.8953,0.9135,1.0000,-60.5600,-83179.8434,0.0728,true
12,2798.0000,4444.0000,2756.0000,4620.0000,3774.5800,376.5774,2798.0000,3540.0000,3808.0000,4033.5000,4444.0000,0.9072,0.0380,0.8864,0.8864,0.8864,0.9044,1.0000,2.6200,3737.8964,0.0701,true
13,2628.0000,4586.0000,2628.0000,4620.0000,3775.1600,355.8633,2628.0000,3572.5000,3814.0000,4033.0000,4586.0000,0.9022,0.0383,0.8775,0.8775,0.8775,0.9156,1.0000,-0.5800,-898.7190,0.0645,true
14,2768.0000,4540.0000,2628.0000,4620.0000,3743.4200,344.9776,2768.0000,3559.5000,3753.0000,3962.5000,4540.0000,0.8971,0.0417,0.8687,0.8687,0.8687,0.9321,1.0000,31.7400,52311.2370,0.0607,true
15,2780.0000,4694.0000,2628.0000,4694.0000,3675.2800,359.3642,2780.0000,3445.5000,3694.0000,3935.5000,4694.0000,0.8920,0.0474,0.8601,0.8601,0.8601,0.9227,1.0000,68.1400,101490.4832,0.0671,true
